"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","New.Positive.Tests","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Positive.Tests","PCR.Individuals","Antigen.Individuals","Positive.PCR.Individuals","Positive.Antigen.Individuals","Individuals.Tested","Individuals.Postive","Bremer.Total.Tests","Bremer.Positive.Tests","Bremer.PCR.Individuals","Bremer.Antigen.Individuals","Bremer.Positive.PCR.Individuals","Bremer.Positive.Antigen.Individuals","Bremer.Individuals.Tested","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Positive.Tests","Butler.PCR.Individuals","ButlerAntigen.Individuals","Positive.Butler.PCR.Individuals","Positive.ButlerAntigen.Individuals","Butler.Individuals.Tested","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Positive.Tests","BH.PCR.Individuals","BH.Antigen.Individuals","Positive.BH.PCR.Individuals","Positive.BH.Antigen.Individuals","Positive.Positive.BH.PCR.Individuals","Positive.Positive.BH.Antigen.Individuals","time.change","np_day","New.Bremer.Positive.Tests"
"45",2020-04-30,42667,7145,858342,162,335,335,121,NA,NA,NA,NA,NA,35522,NA,NA,NA,302,1028,NA,NA,1330,4286,7.81614559029398,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42493,7698,2788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,302,NA
"46",2020-05-01,45593,7884,858342,170,345,348,113,NA,NA,NA,NA,NA,37709,NA,NA,NA,739,2187,NA,NA,2926,4815,7.16510903426791,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44241,8016,3051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,739,NA
"47",2020-05-02,49727,8641,858342,175,353,353,131,NA,NA,NA,NA,NA,41086,NA,NA,NA,757,3377,NA,NA,4134,5567,6.34093766840309,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47194,8817,3339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,757,NA
"48",2020-05-03,53186,9169,858342,184,378,378,133,NA,NA,NA,NA,NA,44017,NA,NA,NA,528,2931,NA,NA,3459,5660,6.67844522968198,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49914,9334,3613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,528,NA
"49",2020-05-04,57161,9703,858342,188,389,389,143,NA,NA,NA,NA,NA,47458,NA,NA,NA,534,3441,NA,NA,3975,6029,6.45214795156742,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53320,9931,3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,534,NA
"50",2020-05-05,60569,10111,858342,207,407,407,152,NA,NA,NA,NA,NA,50458,NA,NA,NA,408,3000,NA,NA,3408,6332,6.42766898294378,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56419,10421,4081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,408,NA
"51",2020-05-06,63171,10404,858342,219,414,413,150,NA,NA,NA,NA,NA,52767,NA,NA,NA,293,2309,NA,NA,2602,6382,6.48699467251645,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59157,10803,4174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,293,NA
"52",2020-05-07,66427,11059,858342,231,417,417,151,NA,NA,NA,NA,NA,55368,NA,NA,NA,655,2601,NA,NA,3256,6562,6.3547698872295,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61641,11113,4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,655,NA
"53",2020-05-08,70261,11457,858342,243,407,407,164,NA,NA,NA,NA,NA,58804,NA,NA,NA,398,3436,NA,NA,3834,6529,6.23372645121764,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64027,11445,4785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,398,NA
"54",2020-05-09,71476,11671,858342,252,402,402,161,NA,NA,NA,NA,NA,59805,NA,NA,NA,214,1001,NA,NA,1215,6408,6.27340823970037,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66660,11844,5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,214,NA
"55",2020-05-10,74174,11959,858342,265,413,413,157,NA,NA,NA,NA,NA,62215,NA,NA,NA,288,2410,NA,NA,2698,6540,6.31498470948012,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70433,12289,5496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,288,NA
"56",2020-05-11,77792,12373,858342,271,394,394,152,NA,NA,NA,NA,NA,65419,NA,NA,NA,414,3204,NA,NA,3618,6853,5.74930687290238,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71641,12491,5900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,414,NA
"57",2020-05-12,81288,12912,858342,289,385,385,143,NA,NA,NA,NA,NA,68376,NA,NA,NA,539,2957,NA,NA,3496,7005,5.49607423269094,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74325,12821,6046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,539,NA
"58",2020-05-13,85719,13289,858342,306,388,388,133,NA,NA,NA,NA,NA,72430,NA,NA,NA,377,4054,NA,NA,4431,7029,5.51998861858017,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77935,13260,6166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,377,NA
"59",2020-05-14,89294,13675,858342,318,405,405,134,NA,NA,NA,NA,NA,75619,NA,NA,NA,386,3189,NA,NA,3575,7126,5.68341285433623,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81385,13780,6637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,386,NA
"60",2020-05-15,93556,14049,858342,336,387,387,130,NA,NA,NA,NA,NA,79507,NA,NA,NA,374,3888,NA,NA,4262,7152,5.41107382550336,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85858,14176,6986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,374,NA
"61",2020-05-16,96300,14328,858342,346,385,385,128,NA,NA,NA,NA,NA,81972,NA,NA,NA,279,2465,NA,NA,2744,7055,5.45712260807938,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89418,14537,7308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,279,NA
"62",2020-05-17,100241,14651,858342,351,374,374,124,NA,NA,NA,NA,NA,85590,NA,NA,NA,323,3618,NA,NA,3941,7146,5.23369717324377,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93700,14965,7691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,323,NA
"63",2020-05-18,103148,14955,858342,355,382,382,121,NA,NA,NA,NA,NA,88193,NA,NA,NA,304,2603,NA,NA,2907,7276,5.25013743815283,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96453,15227,8146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,304,NA
"64",2020-05-19,107196,15296,858342,367,383,383,126,NA,NA,NA,NA,NA,91900,NA,NA,NA,341,3707,NA,NA,4048,7082,5.40807681445919,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100374,15546,8366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,341,NA
"65",2020-05-20,110213,15534,858342,383,381,381,126,NA,NA,NA,NA,NA,94679,NA,NA,NA,238,2779,NA,NA,3017,6915,5.50976138828633,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103265,15815,8519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,238,NA
"66",2020-05-21,115031,15954,858342,403,376,376,125,NA,NA,NA,NA,NA,99077,NA,NA,NA,420,4398,NA,NA,4818,7046,5.33636105591825,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106564,16091,8952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,420,NA
"67",2020-05-22,119469,16415,858342,419,362,362,123,NA,NA,NA,NA,NA,103054,NA,NA,NA,461,3977,NA,NA,4438,7162,5.05445406311086,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109427,16326,9287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,461,NA
"68",2020-05-23,122990,16767,858342,444,262,262,109,NA,NA,NA,NA,NA,106223,NA,NA,NA,352,3169,NA,NA,3521,7136,3.67152466367713,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114060,16709,9569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,352,NA
"69",2020-05-24,132352,17557,858342,456,377,377,118,NA,NA,NA,NA,NA,114795,NA,NA,NA,352,3169,NA,NA,3521,6763,5.57444920893095,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123410,17614,10338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,352,NA
"70",2020-05-25,134985,17659,858342,466,379,379,115,NA,NA,NA,NA,NA,117326,NA,NA,NA,102,2531,NA,NA,2633,6675,5.67790262172285,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126509,17899,10518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,102,NA
"71",2020-05-26,139157,18273,858342,488,393,393,109,NA,NA,NA,NA,NA,120884,NA,NA,NA,614,3558,NA,NA,4172,7106,5.53053757388123,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131452,18289,10679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,614,NA
"72",2020-05-27,142321,18502,858342,500,383,383,112,NA,NA,NA,NA,NA,123819,NA,NA,NA,229,2935,NA,NA,3164,7097,5.39664647033958,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134069,18461,10905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,229,NA
"73",2020-05-28,146275,18792,858342,520,376,376,117,NA,NA,NA,NA,NA,127483,NA,NA,NA,290,3664,NA,NA,3954,6827,5.50754357697378,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138465,19253,11445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,290,NA
"74",2020-05-29,150110,19135,858342,527,368,368,118,NA,NA,NA,NA,NA,130975,NA,NA,NA,343,3492,NA,NA,3835,6736,5.46318289786223,7,69,NA,NA,59,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,141631,19490,11872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,343,NA
"75",2020-05-30,156713,19551,858342,534,341,341,116,NA,NA,NA,NA,NA,137162,NA,NA,NA,416,6187,NA,NA,6603,6742,5.0578463363987,7,70,NA,NA,59,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,145207,19719,12275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,416,NA
"76",2020-06-01,159292,19688,858342,538,339,339,125,NA,NA,NA,NA,NA,139604,NA,NA,NA,137,2442,NA,NA,2579,6366,5.32516493873704,4,70,NA,NA,59,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,148979,20020,12784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,68.5,NA
"77",2020-06-02,163969,19956,858342,560,327,NA,114,NA,NA,NA,NA,NA,144013,NA,NA,NA,268,4409,NA,NA,4677,6371,5.13263223983676,22,69,NA,NA,59,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,154204,20367,13025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,268,NA
"78",2020-06-03,167701,20157,858342,566,314,NA,116,NA,NA,NA,NA,NA,147544,NA,NA,NA,201,3531,NA,NA,3732,6348,4.94643982356648,6,69,NA,NA,59,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,158728,20633,13243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,201,NA
"79",2020-06-04,174127,20706,858342,579,310,NA,105,NA,NA,NA,NA,NA,153421,NA,NA,NA,549,5877,NA,NA,6426,6477,4.78616643507797,13,70,NA,NA,61,NA,NA,6,NA,NA,3,NA,NA,NA,NA,NA,163773,20964,13650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,549,NA
"80",2020-06-05,179816,21096,858342,591,299,NA,102,NA,NA,NA,NA,NA,158720,NA,NA,NA,390,5299,NA,NA,5689,6478,4.61562210558814,12,71,NA,NA,61,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,167899,21246,14027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,390,NA
"81",2020-06-06,184554,21438,858342,597,288,NA,92,NA,NA,NA,NA,NA,163116,NA,NA,NA,342,4396,NA,NA,4738,6443,4.46996740648766,6,71,NA,NA,61,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,171630,21468,14398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,342,NA
"82",2020-06-07,187939,21635,858342,604,269,NA,86,NA,NA,NA,NA,NA,166304,NA,NA,NA,197,3188,NA,NA,3385,6298,4.27119720546205,7,71,NA,NA,61,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,178589,21857,14733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,197,NA
"83",2020-06-08,192950,21919,858342,606,265,NA,85,NA,NA,NA,NA,NA,171031,NA,NA,NA,284,4727,NA,NA,5011,6148,4.31034482758621,2,74,NA,NA,61,NA,NA,6,NA,NA,7,NA,NA,NA,NA,NA,184105,22227,15165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,284,NA
"84",2020-06-09,197340,22179,858342,622,255,NA,82,NA,NA,NA,NA,NA,175161,NA,NA,NA,260,4130,NA,NA,4390,6205,4.10958904109589,16,74,NA,NA,63,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,186560,22349,15352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,260,NA
"85",2020-06-10,202594,22454,858342,629,245,NA,73,NA,NA,NA,NA,NA,180140,NA,NA,NA,275,4979,NA,NA,5254,6342,3.86313465783664,7,74,NA,NA,63,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,191575,22615,15483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,NA
"86",2020-06-11,207057,22785,858342,638,242,NA,75,NA,NA,NA,NA,NA,184272,NA,NA,NA,331,4132,NA,NA,4463,6241,3.8775837205576,9,74,NA,NA,64,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA,196354,22916,15906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,331,NA
